province,weather,temp_c,humidity_%,wind_km/h,pressure_mbar,AQI,PM2_5,PM10,O3,NO2,SO2,CO,PM25_was_unknown,date,comunidades
Albacete,Clear sky,14,88,9.3,1023,50.0,12.0,33.0,67.0,3.0,2.0,0.0,No,2022-11-13 11:00:00,Castilla-La Mancha
Alicante/Alacant,Few clouds,20,65,5.3,1021,17.0,4.0,5.0,35.0,2.0,3.0,0.1,No,2022-11-13 11:00:00,Alicante/Alacant
Almería,Clear sky,21,54,2.0,1020,23.0,5.5,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-13 11:00:00,Andalucía
Asturias,Broken clouds,17,53,10.3,1016,53.0,13.0,30.0,23.0,14.0,11.0,0.6,No,2022-11-13 11:00:00,Asturias
Ávila,Few clouds,11,70,11.6,1020,1.0,4.1,Unknown,Unknown,3.0,2.0,Unknown,No,2022-11-13 11:00:00,Castilla y León
Badajoz,Clear sky,17,73,5.5,1021,57.0,15.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-13 11:00:00,Extremadura
"Balears, Illes",Few clouds,20,78,5.5,1021,25.0,6.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-13 11:00:00,"Balears, Illes"
Barcelona,Scattered clouds,18,58,4.8,1021,57.0,15.0,19.0,26.0,17.5,2.0,200.0,No,2022-11-13 11:00:00,Cataluña
Burgos,Few clouds,13,62,14.1,1020,1.0,4.1,Unknown,Unknown,9.0,1.0,Unknown,No,2022-11-13 11:00:00,Castilla y León
Cáceres,Broken clouds,15,58,5.7,1020,2.0,4.1,Unknown,4.7,14.0,0.1,0.0,No,2022-11-13 11:00:00,Extremadura
Cádiz,Clear sky,18,77,7.4,1020,43.0,4.1,47.2,18.0,18.0,2.0,0.6,No,2022-11-13 11:00:00,Andalucía
Cantabria,Scattered clouds,18,58,10.9,1016,10.0,2.5,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-13 11:00:00,Cantabria
Castellón/Castelló,Clear sky,19,68,2.3,1021,2.0,4.1,Unknown,6.0,14.0,3.0,Unknown,No,2022-11-13 11:00:00,Comunidad Valenciana
Ciudad Real,Clear sky,15,56,1.3,1021,37.0,9.0,Unknown,Unknown,7.0,2.0,Unknown,No,2022-11-13 11:00:00,Castilla-La Mancha
Córdoba,Clear sky,19,48,3.6,1021,58.0,15.3,31.5,17.0,8.0,3.0,0.4,No,2022-11-13 11:00:00,Andalucía
"Coruña, A",Clear sky,17,64,20.6,1014,59.0,16.0,20.0,Unknown,Unknown,Unknown,Unknown,No,2022-11-13 11:00:00,Galicia
Cuenca,Clear sky,13,67,9.3,1021,57.0,15.0,26.0,Unknown,Unknown,2.0,Unknown,No,2022-11-13 11:00:00,Castilla-La Mancha
Girona,Few clouds,12,100,0.0,1021,41.0,10.0,18.0,Unknown,Unknown,1.0,Unknown,No,2022-11-13 11:00:00,Cataluña
Granada,Clear sky,16,51,0.0,1018,53.0,13.2,33.5,14.0,31.0,9.0,0.2,No,2022-11-13 11:00:00,Andalucía
Guadalajara,Clear sky,13,71,7.0,1021,50.0,12.0,21.0,Unknown,10.0,6.0,0.0,No,2022-11-13 11:00:00,Castilla-La Mancha
Huelva,Few clouds,18,68,13.2,1020,29.0,7.0,12.2,22.0,3.5,1.0,0.2,No,2022-11-13 11:00:00,Andalucía
Huesca,Clear sky,14,68,3.7,1021,1.0,4.1,Unknown,Unknown,7.0,1.0,Unknown,No,2022-11-13 11:00:00,Aragón
Jaén,Clear sky,18,38,3.0,1020,31.0,6.4,22.8,77.0,3.0,4.0,0.3,No,2022-11-13 11:00:00,Andalucía
León,Broken clouds,10,87,5.5,1021,21.0,5.0,Unknown,Unknown,18.0,2.5,Unknown,No,2022-11-13 11:00:00,Castilla y León
Lleida,Clear sky,16,63,3.1,1021,63.0,18.0,27.0,18.0,3.5,1.0,Unknown,No,2022-11-13 11:00:00,Cataluña
Lugo,Clear sky,14,67,7.9,1016,63.0,18.0,Unknown,Unknown,Unknown,1.8,Unknown,No,2022-11-13 11:00:00,Galicia
Madrid,Few clouds,13,73,7.1,1021,37.0,9.0,16.0,41.0,19.0,1.0,Unknown,No,2022-11-13 11:00:00,Madrid
Málaga,Clear sky,21,57,5.1,1021,49.0,11.8,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-13 11:00:00,Andalucía
Murcia,Scattered clouds,19,72,1.6,1021,53.0,13.0,23.0,30.0,15.0,5.0,Unknown,No,2022-11-13 11:00:00,Murcia
Navarra,Clear sky,15,73,8.2,1020,21.0,5.0,7.0,21.0,17.0,3.0,Unknown,No,2022-11-13 11:00:00,Navarra
Ourense,Clear sky,16,71,9.8,1017,21.0,5.0,15.0,5.5,4.3,3.0,Unknown,No,2022-11-13 11:00:00,Galicia
Palencia,Few clouds,12,68,9.9,1020,25.0,6.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-13 11:00:00,Castilla y León
"Palmas, Las",Broken clouds,24,50,8.7,1019,70.0,21.0,Unknown,32.0,24.0,Unknown,Unknown,No,2022-11-13 11:00:00,Canarias
"Rioja, La",Clear sky,9,93,7.4,1022,21.0,5.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-13 11:00:00,"Rioja, La"
Salamanca,Broken clouds,12,60,8.8,1020,33.0,8.0,Unknown,Unknown,16.5,18.0,Unknown,No,2022-11-13 11:00:00,Castilla y León
Santa Cruz de Tenerife,Broken clouds,23,57,14.1,1018,65.0,19.0,42.0,23.0,30.0,5.0,0.0,No,2022-11-13 11:00:00,Canarias
Segovia,Few clouds,11,62,8.7,1020,57.0,15.0,22.0,Unknown,Unknown,1.0,Unknown,No,2022-11-13 11:00:00,Castilla y León
Sevilla,Clear sky,19,50,6.0,1020,33.0,8.0,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-13 11:00:00,Andalucía
Soria,Clear sky,9,100,11.2,1022,2.0,4.1,Unknown,Unknown,12.0,1.0,Unknown,No,2022-11-13 11:00:00,Castilla y León
Tarragona,Few clouds,18,64,5.1,1021,58.0,15.5,25.5,53.0,7.0,1.0,Unknown,No,2022-11-13 11:00:00,Cataluña
Teruel,Clear sky,10,81,11.1,1023,57.0,15.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-13 11:00:00,Aragón
Toledo,Clear sky,14,65,1.5,1022,45.0,11.0,24.0,44.0,2.0,2.0,Unknown,No,2022-11-13 11:00:00,Castilla-La Mancha
Valencia/València,Broken clouds,17,76,7.4,1021,37.0,9.0,10.0,21.5,9.5,4.5,Unknown,No,2022-11-13 11:00:00,Comunidad Valenciana
Valladolid,Few clouds,13,69,10.2,1020,59.0,16.0,22.0,28.0,22.0,3.0,Unknown,No,2022-11-13 11:00:00,Castilla y León
Zamora,Broken clouds,11,100,9.2,1020,37.0,9.0,13.0,Unknown,8.0,1.0,Unknown,No,2022-11-13 11:00:00,Castilla y León
Zaragoza,Clear sky,16,71,4.9,1021,39.0,9.5,16.1,12.2,16.4,6.9,170.0,No,2022-11-13 11:00:00,Aragón
Ceuta,Clear sky,19,74,4.4,1021,33.0,6.3,35.9,Unknown,33.9,3.8,0.1,No,2022-11-13 11:00:00,Ceuta
Albacete,Few clouds,19,55,13.0,1020,41.0,10.0,33.0,82.0,2.0,2.0,0.0,No,2022-11-13 16:00:00,Castilla-La Mancha
Alicante/Alacant,Few clouds,21,75,11.1,1019,31.0,2.0,7.0,77.0,1.5,6.0,0.1,No,2022-11-13 16:00:00,Alicante/Alacant
Almería,Clear sky,21,58,10.4,1019,19.0,4.5,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-13 16:00:00,Andalucía
Asturias,Broken clouds,20,42,9.5,1013,88.0,30.0,Unknown,75.0,6.6,8.0,0.5,No,2022-11-13 16:00:00,Asturias
Ávila,Scattered clouds,15,46,10.7,1017,1.0,4.1,Unknown,Unknown,2.0,2.0,Unknown,No,2022-11-13 16:00:00,Castilla y León
Badajoz,Clear sky,20,65,9.3,1019,22.0,4.1,Unknown,53.0,14.0,0.5,0.3,No,2022-11-13 16:00:00,Extremadura
"Balears, Illes",Scattered clouds,20,75,6.8,1019,21.0,5.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-13 16:00:00,"Balears, Illes"
Barcelona,Clear sky,19,79,14.8,1018,43.0,10.5,20.0,55.0,25.5,2.5,200.0,No,2022-11-13 16:00:00,Cataluña
Burgos,Scattered clouds,16,55,22.2,1018,1.0,4.1,Unknown,Unknown,9.0,1.0,Unknown,No,2022-11-13 16:00:00,Castilla y León
Cáceres,Broken clouds,18,47,13.5,1018,0.0,4.1,Unknown,Unknown,1.6,0.1,0.0,No,2022-11-13 16:00:00,Extremadura
Cádiz,Few clouds,22,78,14.8,1019,84.0,28.0,49.6,67.0,7.0,2.0,0.6,No,2022-11-13 16:00:00,Andalucía
Cantabria,Clear sky,22,40,18.5,1013,12.0,3.0,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-13 16:00:00,Cantabria
Castellón/Castelló,Clear sky,20,68,8.0,1018,25.0,3.0,4.0,60.0,2.5,4.5,0.1,No,2022-11-13 16:00:00,Comunidad Valenciana
Ciudad Real,Clear sky,20,47,9.6,1019,25.0,6.0,Unknown,Unknown,7.0,3.0,Unknown,No,2022-11-13 16:00:00,Castilla-La Mancha
Córdoba,Clear sky,23,41,9.3,1018,64.0,18.5,40.1,63.5,6.0,3.0,0.4,No,2022-11-13 16:00:00,Andalucía
"Coruña, A",Rain,18,71,29.6,1011,53.0,13.0,24.0,58.0,6.3,Unknown,Unknown,No,2022-11-13 16:00:00,Galicia
Cuenca,Few clouds,16,48,12.1,1018,59.0,16.0,28.0,Unknown,Unknown,2.0,Unknown,No,2022-11-13 16:00:00,Castilla-La Mancha
Girona,Broken clouds,19,60,8.7,1018,37.0,9.0,18.0,Unknown,Unknown,1.0,Unknown,No,2022-11-13 16:00:00,Cataluña
Granada,Clear sky,20,34,14.4,1019,53.0,13.2,36.7,65.0,Unknown,9.0,0.1,No,2022-11-13 16:00:00,Andalucía
Guadalajara,Clear sky,16,71,15.6,1019,57.0,15.0,28.0,Unknown,4.0,6.0,Unknown,No,2022-11-13 16:00:00,Castilla-La Mancha
Huelva,Broken clouds,19,71,10.8,1019,60.0,16.5,40.5,Unknown,1.0,6.5,0.2,No,2022-11-13 16:00:00,Andalucía
Huesca,Clear sky,20,57,3.7,1018,1.0,4.1,Unknown,Unknown,1.0,1.0,Unknown,No,2022-11-13 16:00:00,Aragón
Jaén,Clear sky,20,41,13.8,1018,32.0,4.1,Unknown,78.0,3.0,5.0,0.3,No,2022-11-13 16:00:00,Andalucía
León,Scattered clouds,14,67,14.8,1018,33.0,8.0,Unknown,Unknown,4.5,3.0,Unknown,No,2022-11-13 16:00:00,Castilla y León
Lleida,Clear sky,20,53,7.4,1016,54.0,13.5,21.0,Unknown,2.0,1.0,Unknown,No,2022-11-13 16:00:00,Cataluña
Lugo,Broken clouds,17,68,6.4,1014,37.0,9.0,Unknown,Unknown,1.3,1.2,Unknown,No,2022-11-13 16:00:00,Galicia
Madrid,Clear sky,17,50,9.4,1018,54.0,13.5,29.0,65.5,17.5,1.0,Unknown,No,2022-11-13 16:00:00,Madrid
Málaga,Clear sky,21,62,9.5,1019,47.0,11.3,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-13 16:00:00,Andalucía
Murcia,Few clouds,22,59,8.0,1018,56.0,14.5,30.0,76.0,8.0,6.0,Unknown,No,2022-11-13 16:00:00,Murcia
Navarra,Few clouds,18,52,15.1,1017,31.0,7.5,13.5,43.0,5.5,2.0,Unknown,No,2022-11-13 16:00:00,Navarra
Ourense,Broken clouds,20,69,12.3,1015,55.0,14.0,37.0,Unknown,Unknown,Unknown,Unknown,No,2022-11-13 16:00:00,Galicia
Palencia,Scattered clouds,17,52,9.6,1019,21.0,5.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-13 16:00:00,Castilla y León
"Palmas, Las",Broken clouds,29,49,8.1,1017,59.0,16.0,60.0,59.0,15.0,Unknown,Unknown,No,2022-11-13 16:00:00,Canarias
"Rioja, La",Clear sky,17,59,3.7,1018,21.0,5.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-13 16:00:00,"Rioja, La"
Salamanca,Broken clouds,16,42,21.8,1017,4.0,1.0,Unknown,Unknown,1.0,2.0,Unknown,No,2022-11-13 16:00:00,Castilla y León
Santa Cruz de Tenerife,Broken clouds,23,58,5.1,1017,57.0,15.0,43.5,52.0,22.5,5.0,Unknown,No,2022-11-13 16:00:00,Canarias
Segovia,Few clouds,15,50,13.9,1017,29.0,7.0,14.0,Unknown,Unknown,1.0,Unknown,No,2022-11-13 16:00:00,Castilla y León
Sevilla,Few clouds,23,42,15.2,1018,33.0,8.0,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-13 16:00:00,Andalucía
Soria,Few clouds,16,57,4.8,1017,4.0,4.1,Unknown,Unknown,24.0,2.0,Unknown,No,2022-11-13 16:00:00,Castilla y León
Tarragona,Scattered clouds,19,77,7.4,1021,59.0,16.0,19.0,73.5,6.0,1.0,Unknown,No,2022-11-13 16:00:00,Cataluña
Teruel,Clear sky,17,55,16.7,1020,34.0,8.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-13 16:00:00,Aragón
Toledo,Few clouds,20,41,11.5,1018,29.0,7.0,17.0,67.0,2.0,2.0,Unknown,No,2022-11-13 16:00:00,Castilla-La Mancha
Valencia/València,Clear sky,20,66,8.3,1018,33.0,8.0,22.0,47.0,4.0,3.0,0.1,No,2022-11-13 16:00:00,Comunidad Valenciana
Valladolid,Scattered clouds,17,40,14.8,1017,33.0,8.0,16.0,73.0,10.0,6.0,Unknown,No,2022-11-13 16:00:00,Castilla y León
Zamora,Broken clouds,18,64,24.2,1014,17.0,4.0,6.0,Unknown,5.0,1.0,Unknown,No,2022-11-13 16:00:00,Castilla y León
Zaragoza,Clear sky,20,46,4.7,1017,29.0,7.0,13.2,46.7,12.3,8.0,165.0,No,2022-11-13 16:00:00,Aragón
Ceuta,Few clouds,20,75,6.8,1019,57.0,15.2,37.4,35.1,Unknown,4.2,0.1,No,2022-11-13 16:00:00,Ceuta
Albacete,Scattered clouds,14,82,20.4,1022,65.0,19.0,48.0,62.0,8.0,2.0,0.0,No,2022-11-14 11:00:00,Castilla-La Mancha
Alicante/Alacant,Few clouds,20,62,12.2,1020,21.0,5.0,7.0,11.5,7.5,3.0,0.1,No,2022-11-14 11:00:00,Alicante/Alacant
Almería,Broken clouds,20,64,11.4,1021,50.0,12.0,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-14 11:00:00,Andalucía
Asturias,Broken clouds,11,87,2.2,1017,12.0,3.0,Unknown,Unknown,25.2,5.9,0.6,No,2022-11-14 11:00:00,Asturias
Ávila,Broken clouds,10,78,7.5,1019,2.0,4.1,Unknown,Unknown,6.0,4.0,Unknown,No,2022-11-14 11:00:00,Castilla y León
Badajoz,Broken clouds,16,90,14.8,1021,25.0,6.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-14 11:00:00,Extremadura
"Balears, Illes",Scattered clouds,20,79,20.4,1019,17.0,4.0,6.7,4.2,Unknown,4.0,Unknown,No,2022-11-14 11:00:00,"Balears, Illes"
Barcelona,Broken clouds,18,68,4.0,1018,35.0,8.6,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-14 11:00:00,Cataluña
Burgos,Broken clouds,11,81,22.2,1018,4.0,4.1,Unknown,Unknown,22.0,1.0,Unknown,No,2022-11-14 11:00:00,Castilla y León
Cáceres,Broken clouds,14,90,13.8,1020,17.0,4.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-14 11:00:00,Extremadura
Cádiz,Broken clouds,18,88,5.5,1022,74.0,23.0,40.1,8.0,24.0,2.0,0.6,No,2022-11-14 11:00:00,Andalucía
Cantabria,Broken clouds,13,85,12.0,1018,14.0,3.3,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-14 11:00:00,Cantabria
Castellón/Castelló,Scattered clouds,20,49,7.2,1018,17.0,4.0,6.0,38.0,5.0,Unknown,Unknown,No,2022-11-14 11:00:00,Comunidad Valenciana
Ciudad Real,Clear sky,14,78,7.4,1021,59.0,16.0,Unknown,Unknown,Unknown,3.0,Unknown,No,2022-11-14 11:00:00,Castilla-La Mancha
Córdoba,Mist,15,94,0.0,1022,57.0,14.8,43.2,44.0,12.0,3.0,0.5,No,2022-11-14 11:00:00,Andalucía
"Coruña, A",Few clouds,12,82,11.1,1016,50.0,12.0,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-14 11:00:00,Galicia
Cuenca,Broken clouds,11,73,11.2,1021,50.0,4.1,55.0,3.0,Unknown,4.0,Unknown,No,2022-11-14 11:00:00,Castilla-La Mancha
Girona,Broken clouds,18,68,5.3,1017,50.0,12.0,20.0,Unknown,Unknown,1.0,Unknown,No,2022-11-14 11:00:00,Cataluña
Granada,Few clouds,15,69,3.7,1020,21.0,4.8,22.7,28.0,15.0,8.0,0.1,No,2022-11-14 11:00:00,Andalucía
Guadalajara,Broken clouds,11,100,15.0,1022,65.0,19.0,31.0,Unknown,Unknown,9.0,0.0,No,2022-11-14 11:00:00,Castilla-La Mancha
Huelva,Broken clouds,15,88,1.6,1027,17.0,4.0,9.5,Unknown,29.0,2.0,0.5,No,2022-11-14 11:00:00,Andalucía
Huesca,Few clouds,13,88,5.5,1018,2.0,4.1,Unknown,6.0,3.0,2.0,Unknown,No,2022-11-14 11:00:00,Aragón
Jaén,Broken clouds,15,62,6.8,1022,48.0,11.7,27.6,44.0,16.0,4.0,0.4,No,2022-11-14 11:00:00,Andalucía
León,Few clouds,10,76,14.8,1018,12.0,3.0,Unknown,Unknown,8.0,2.0,Unknown,No,2022-11-14 11:00:00,Castilla y León
Lleida,Few clouds,15,81,7.4,1016,70.0,21.0,33.0,5.5,1.0,1.0,Unknown,No,2022-11-14 11:00:00,Cataluña
Lugo,Broken clouds,9,100,6.9,1017,25.0,6.0,7.0,Unknown,Unknown,2.0,Unknown,No,2022-11-14 11:00:00,Galicia
Madrid,Broken clouds,11,91,9.3,1005,76.0,24.0,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-14 11:00:00,Madrid
Málaga,Scattered clouds,21,46,6.3,1021,44.0,10.7,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-14 11:00:00,Andalucía
Murcia,Clear sky,18,72,6.4,1021,58.0,15.5,26.0,28.0,26.0,3.0,Unknown,No,2022-11-14 11:00:00,Murcia
Navarra,Scattered clouds,12,93,7.4,1016,43.0,10.5,18.0,Unknown,43.0,1.0,Unknown,No,2022-11-14 11:00:00,Navarra
Ourense,Broken clouds,13,86,7.1,1018,17.0,4.0,5.2,Unknown,Unknown,3.3,Unknown,No,2022-11-14 11:00:00,Galicia
Palencia,Broken clouds,13,74,16.1,1019,17.0,4.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-14 11:00:00,Castilla y León
"Palmas, Las",Broken clouds,24,47,12.3,1020,88.0,30.0,50.0,10.0,65.0,11.0,0.0,No,2022-11-14 11:00:00,Canarias
"Rioja, La",Broken clouds,13,71,3.0,1018,13.0,3.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-14 11:00:00,"Rioja, La"
Salamanca,Broken clouds,12,83,20.4,1019,4.0,1.0,Unknown,Unknown,6.0,Unknown,Unknown,No,2022-11-14 11:00:00,Castilla y León
Santa Cruz de Tenerife,Scattered clouds,23,59,10.7,1020,42.0,10.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-14 11:00:00,Canarias
Segovia,Broken clouds,12,59,6.5,1019,4.0,1.0,4.0,Unknown,Unknown,1.0,Unknown,No,2022-11-14 11:00:00,Castilla y León
Sevilla,Mist,15,93,7.4,1021,21.0,5.0,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-14 11:00:00,Andalucía
Soria,Broken clouds,8,84,8.5,1019,8.0,4.1,Unknown,Unknown,48.0,4.0,Unknown,No,2022-11-14 11:00:00,Castilla y León
Tarragona,Few clouds,19,68,16.1,1020,57.0,15.0,24.0,13.0,34.0,1.5,Unknown,No,2022-11-14 11:00:00,Cataluña
Teruel,Broken clouds,13,64,11.5,1019,25.0,6.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-14 11:00:00,Aragón
Toledo,Broken clouds,15,63,13.9,1021,21.0,5.0,13.0,Unknown,2.0,2.0,Unknown,No,2022-11-14 11:00:00,Castilla-La Mancha
Valencia/València,Clear sky,18,66,13.0,1018,68.0,20.0,40.0,4.0,27.0,3.0,0.3,No,2022-11-14 11:00:00,Comunidad Valenciana
Valladolid,Broken clouds,13,77,23.1,1018,41.0,10.0,14.5,45.0,24.0,5.0,Unknown,No,2022-11-14 11:00:00,Castilla y León
Zamora,Broken clouds,13,73,24.1,1018,8.0,2.0,2.0,Unknown,8.0,1.0,Unknown,No,2022-11-14 11:00:00,Castilla y León
Zaragoza,Rain,16,57,11.2,1018,53.0,13.0,24.3,11.9,24.7,5.9,210.0,No,2022-11-14 11:00:00,Aragón
Ceuta,Few clouds,19,66,10.9,1022,28.0,6.8,11.5,25.0,46.7,5.4,0.2,No,2022-11-14 11:00:00,Ceuta
Albacete,Few clouds,14,72,14.8,1021,53.0,13.0,41.0,67.0,4.0,2.0,0.0,No,2022-11-14 23:00:00,Castilla-La Mancha
Alicante/Alacant,Rain,19,69,7.6,1019,22.0,4.1,Unknown,54.0,20.0,1.0,0.0,No,2022-11-14 23:00:00,Alicante/Alacant
Almería,Clear sky,17,83,5.5,1018,45.0,11.0,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-14 23:00:00,Andalucía
Asturias,Broken clouds,12,95,7.6,1009,53.0,13.0,Unknown,20.5,24.5,11.0,0.5,No,2022-11-14 23:00:00,Asturias
Ávila,Broken clouds,10,85,7.6,1022,3.0,4.1,Unknown,Unknown,13.0,5.0,Unknown,No,2022-11-14 23:00:00,Castilla y León
Badajoz,Broken clouds,15,92,10.9,1019,5.0,4.1,Unknown,Unknown,30.0,0.9,0.2,No,2022-11-14 23:00:00,Extremadura
"Balears, Illes",Few clouds,19,86,20.4,1018,59.0,16.0,26.0,79.0,6.0,2.4,Unknown,No,2022-11-14 23:00:00,"Balears, Illes"
Barcelona,Broken clouds,18,64,10.9,1016,50.0,12.0,25.0,10.0,50.0,2.0,200.0,No,2022-11-14 23:00:00,Cataluña
Burgos,Clear sky,10,76,20.4,1016,2.0,4.1,Unknown,Unknown,13.0,1.0,Unknown,No,2022-11-14 23:00:00,Castilla y León
Cáceres,Broken clouds,12,96,9.7,1019,2.0,4.1,Unknown,Unknown,13.0,0.1,0.1,No,2022-11-14 23:00:00,Extremadura
Cádiz,Few clouds,18,94,0.0,1021,80.0,26.0,47.2,52.0,29.0,2.0,0.8,No,2022-11-14 23:00:00,Andalucía
Cantabria,Broken clouds,13,80,12.3,1011,1.0,0.2,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-14 23:00:00,Cantabria
Castellón/Castelló,Broken clouds,19,60,7.1,1017,25.0,6.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-14 23:00:00,Comunidad Valenciana
Ciudad Real,Few clouds,13,86,9.6,1019,15.0,2.0,16.0,Unknown,Unknown,2.0,Unknown,No,2022-11-14 23:00:00,Castilla-La Mancha
Córdoba,Broken clouds,16,82,5.5,1020,43.0,10.3,22.2,18.5,37.0,3.0,0.7,No,2022-11-14 23:00:00,Andalucía
"Coruña, A",Broken clouds,15,81,40.2,1008,41.0,10.0,Unknown,52.0,7.8,Unknown,Unknown,No,2022-11-14 23:00:00,Galicia
Cuenca,Broken clouds,11,89,16.0,1019,41.0,10.0,17.0,Unknown,Unknown,2.0,Unknown,No,2022-11-14 23:00:00,Castilla-La Mancha
Girona,Broken clouds,14,76,3.7,1016,57.0,15.0,29.0,Unknown,Unknown,1.0,Unknown,No,2022-11-14 23:00:00,Cataluña
Granada,Broken clouds,12,63,2.5,1022,50.0,12.0,33.5,41.0,30.0,9.0,0.2,No,2022-11-14 23:00:00,Andalucía
Guadalajara,Broken clouds,12,94,16.9,1017,29.0,7.0,13.0,Unknown,Unknown,11.0,Unknown,No,2022-11-14 23:00:00,Castilla-La Mancha
Huelva,Broken clouds,17,92,11.3,1020,23.0,5.7,18.5,Unknown,6.5,1.0,0.4,No,2022-11-14 23:00:00,Andalucía
Huesca,Broken clouds,12,93,3.7,1016,16.0,4.1,Unknown,40.0,21.0,1.0,Unknown,No,2022-11-14 23:00:00,Aragón
Jaén,Broken clouds,13,70,8.4,1021,11.0,4.1,Unknown,28.0,42.0,4.0,0.4,No,2022-11-14 23:00:00,Andalucía
León,Broken clouds,9,76,16.0,1014,37.0,9.0,Unknown,Unknown,17.5,2.0,Unknown,No,2022-11-14 23:00:00,Castilla y León
Lleida,Clear sky,14,86,1.8,1014,85.0,28.5,46.0,1.0,5.5,1.0,Unknown,No,2022-11-14 23:00:00,Cataluña
Lugo,Broken clouds,11,77,18.5,1012,29.0,7.0,5.0,Unknown,3.7,1.0,Unknown,No,2022-11-14 23:00:00,Galicia
Madrid,Broken clouds,12,92,17.0,1017,18.0,2.0,6.5,45.0,15.0,8.0,Unknown,No,2022-11-14 23:00:00,Madrid
Málaga,Broken clouds,18,66,9.3,1020,20.0,4.8,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-14 23:00:00,Andalucía
Murcia,Broken clouds,18,71,6.6,1019,76.0,24.0,45.0,16.0,54.0,3.0,Unknown,No,2022-11-14 23:00:00,Murcia
Navarra,Broken clouds,11,87,7.6,1015,62.0,17.5,29.0,1.0,47.5,1.0,Unknown,No,2022-11-14 23:00:00,Navarra
Ourense,Broken clouds,13,85,11.6,1014,33.0,8.0,33.0,Unknown,Unknown,4.0,Unknown,No,2022-11-14 23:00:00,Galicia
Palencia,Broken clouds,10,80,9.6,1018,5.0,1.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-14 23:00:00,Castilla y León
"Palmas, Las",Clear sky,24,48,6.8,1020,59.0,16.0,54.0,27.0,46.0,4.0,Unknown,No,2022-11-14 23:00:00,Canarias
"Rioja, La",Mist,9,93,1.8,1016,5.0,1.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-14 23:00:00,"Rioja, La"
Salamanca,Broken clouds,10,91,19.5,1017,4.0,1.0,Unknown,Unknown,12.5,2.0,Unknown,No,2022-11-14 23:00:00,Castilla y León
Santa Cruz de Tenerife,Clear sky,23,37,9.3,1023,68.0,20.0,65.5,3.0,67.0,6.0,Unknown,No,2022-11-14 23:00:00,Canarias
Segovia,Broken clouds,9,91,6.8,1017,17.0,4.0,6.0,Unknown,Unknown,2.0,Unknown,No,2022-11-14 23:00:00,Castilla y León
Sevilla,Broken clouds,16,93,8.2,1021,25.0,6.0,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-14 23:00:00,Andalucía
Soria,Broken clouds,9,90,3.2,1016,2.0,4.1,Unknown,Unknown,11.0,2.0,Unknown,No,2022-11-14 23:00:00,Castilla y León
Tarragona,Clear sky,16,74,7.4,1019,70.0,21.0,32.0,6.0,38.0,1.5,Unknown,No,2022-11-14 23:00:00,Cataluña
Teruel,Broken clouds,12,80,11.8,1018,9.0,2.1,Unknown,Unknown,Unknown,Unknown,Unknown,No,2022-11-14 23:00:00,Aragón
Toledo,Broken clouds,16,65,19.3,1019,25.0,6.0,5.0,Unknown,2.0,2.0,Unknown,No,2022-11-14 23:00:00,Castilla-La Mancha
